authors	url (pdf)	licence	title	keywords
Kleinman, Scott; LeBlanc, Mark	https://dh2017.adho.org/abstracts/054/054.pdf	cc-by	Lexos: An Integrated Lexomics Workflow	Lexomics, stylometry, interdisciplinary
Kleppe, Martijn; Lincoln, Matthew; Wevers, Melvin; Williams, Mark; Seguin, Benoit; Smits, Thomas	https://dh2017.adho.org/abstracts/639/639.pdf	cc-by	Computer Vision in Digital Humanities	computer vision, visual datasets, patterns, deep learning, convolutional neural networks
Kotch, Seth; Gaddis, Elijah	https://dh2017.adho.org/abstracts/365/365.pdf	cc-by	“A Pale Reflection of the Violent Truth? Practice and Pedagogy with a Digital Geography of American Lynching”	lynching, pedagogy, social justice, mapping, race
Kovalenko, Kira; Wandl-Vogt, Eveline	https://dh2017.adho.org/abstracts/464/464.pdf	cc-by	Collaborative Approaches to Open up Russian Manuscript Lexicons	Lexicography, Russian manuscript lexicons, research data infrastructure, TEI
Krug, Markus; Reger, Isabella; Jannidis, Fotis; Weimer, Lukas; Madarász, Nathalie; Puppe, Frank	https://dh2017.adho.org/abstracts/340/340.pdf	cc-by	Overcoming Data Sparsity for Relation Detection in German Novels	relation detection, character networks, data sparsity
Laiacona, Nick	https://dh2017.adho.org/abstracts/456/456.pdf	cc-by	Editing Melville&#8217;s &#8220;Billy Budd&#8221; with TextLab, Juxta Editions, and MEL Catalog	transcription, annotation, edition building, web publishing, linked data
Langlais, Pierre-Carl	https://dh2017.adho.org/abstracts/550/550.pdf	cc-by	Journal Flipping Or Model Flipping? Le Tournant Du Libre Accès Au Prisme Des Humanités Numériques.	open access, commons, peer review, text mining
Laramée, François Dominic	https://dh2017.adho.org/abstracts/073/073.pdf	cc-by	La Production de l’Espace dans l’Imprimé Français d’Ancien Régime : Le Cas de la Gazette	Histoire, France, Presse, XVIIIe siècle
Larrousse, Nicolas; Baude, Olivier; Joffres, Adeline; Pouyllau, Stéphane	https://dh2017.adho.org/abstracts/242/242.pdf	cc-by	Huma-Num : Une infrastructure française pour les Sciences Humaines et Sociales. Stratégie, organisation et fonctionnement	Infrastructure, Interoperability, Preservation, Dissemination, Expertise
Lassner, David	https://dh2017.adho.org/abstracts/312/312.pdf	cc-by	Generative Model For Latent Reasons For Modifications	Variational Inference, Generative Model, Modifications
Laubrock, Jochen; Hohenstein, Sven; Richter, Eike	https://dh2017.adho.org/abstracts/220/220.pdf	cc-by	Design of a Corpus and an Interactive Annotation Tool for Graphic Literature	graphic novels, corpus studies, eye tracking, image processing
Lauscher, Anne; Nanni, Federico; Ponzetto, Simone Paolo	https://dh2017.adho.org/abstracts/063/063.pdf	cc-by	SLaTE: A System for Labeling Topics with Entities	topic models, evaluation, implementation, entity linking, labeled lda
Lavrentiev, Alexei; Debrenne, Michèle; Dolgushin, Dmitry; Panina, Nina; Borodikhin, Andrey; Heiden, Serge	https://dh2017.adho.org/abstracts/157/157.pdf	cc-by	Journaux Intimes Francophones en Russie au XIXe siècle : une Approche Textométrique de l’Interaction des Langues et des Cultures	bilinguism, personal diaries, French, TXM
LeBlanc, Mark D.	https://dh2017.adho.org/abstracts/027/027.pdf	cc-by	Toward Reproducibility in DH Experiments: A Case Study in Search of Edgar Allan Poe&#8217;s First Published Work	reproducibility, stylometry, attribution, methods, Poe
LeBlanc, Zoe Genevieve; Romero, E. Kyle	https://dh2017.adho.org/abstracts/548/548.pdf	cc-by	Archivlo: Digitizing the Archival Research Workflow	archives, web development, user design, community, project management
Leavy, Susan; Pine, Emilie; Keane, Mark	https://dh2017.adho.org/abstracts/098/098.pdf	cc-by	Mining the Cultural Memory of Irish Industrial Schools Using Word Embedding and Text Classification	Text Analysis, Machine Learning, Digital Re-reading, Cultural Memory, Representing Government Investigation Reports
